"_","Id","Name","AccountId__c","ccrz__BillTo__c","Billing_Address__c","Billing_City_State_Zip__c","Bulk_Product_Count__c","Billing_Company_Name__c","ccrz__BuyerCompanyName__c","ccrz__ShipMethod__c","Average_Gross_Profit_Margin__c","Average_Per_Unit_Profit_Margin__c","Average_Net_Profit_Margin__c","ccrz__OrderNumber__c","Total_Cost__c","ccrz__TotalDiscount__c","Total_Weight__c"
"[ccrz__E_Order__c]","a0n5d00000UALBaAAP","O-0000007704","0013h00000ztMKZ","a0P5d000018j9NkEAI","Grade A Petroleum<br>90 East Hawthorne Avenue<br>Valley Stream, NY 11580<br>United States","Valley Stream, NY 11580","0","Grade A Petroleum","","FOB Orgin (Customer Truck)","","","","1007704","0","","20101.2"
"[ccrz__E_Order__c]","a0n5d00000UALCAAA5","O-0000007705","0013h000012WjMp","a0P5d000018j9OYEAY","Moroil Technologies<br>P. O. Box 127<br>Davidson, NC 28036<br>United States","Davidson, NC 28036","2","Moroil Technologies","","FOB Orgin Pre-Pay & Add","","","","1007705","0","","46755.67"
"[ccrz__E_Order__c]","a0n5d00000UALE9AAP","O-0000007706","0013h00000zvDKN","a0P5d000018j9PWEAY","Troil Enterprises, LLC<br>2485 East State Street Ext.<br>Trenton, NJ 08619<br>United States","Trenton, NJ 08619","0","Troil Enterprises, LLC","","FOB Orgin (Customer Truck)","","","","1007706","0","","12211.92"
"[ccrz__E_Order__c]","a0n5d00000UALEjAAP","O-0000007707","0013h00000zufdc","a0P5d000018j9PvEAI","Insinger Performance<br>11278 Route 220<br>Dushore, PA 18614<br>United States","Dushore, PA 18614","1","Insinger Performance","","FOB Orgin (Customer Truck)","","","","1007707","0","","16220.89"
"[ccrz__E_Order__c]","a0n5d00000UALFmAAP","O-0000007708","0013h00000zugVU","a0P5d000018j9QjEAI","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","3","PPC Lubricants","","FOB Orgin Pre-Pay & Add","","","","1007708","0","","46707.67"
"[ccrz__E_Order__c]","a0n5d00000UALGNAA5","O-0000007709","0013h00000zugVU","a0P5d000018j9RIEAY","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","4","PPC Lubricants","","FOB Orgin Pre-Pay & Add","","","","1007709","11134.83","","46396.35"
"[ccrz__E_Order__c]","a0n5d00000UALHaAAP","O-0000007710","0013h000012WuGd","a0P5d000018j9S6EAI","Quality Oil<br>203 West Broad Avenue<br>Rockingham, NC 28379<br>United States","Rockingham, NC 28379","0","Quality Oil","","FOB Orgin Collect","","","","1007710","0","","8378.77"
"[ccrz__E_Order__c]","a0n5d00000UALIPAA5","O-0000007711","0013h00000ztCrA","a0P5d000018j9SuEAI","Chesapeake Petroleum<br>P. O. Box 7610<br>Gaithersburg, MD 20898<br>United States","Gaithersburg, MD 20898","2","Chesapeake Petroleum","","FOB Orgin Pre-Pay & Add","","","","1007711","0","","46151.35"
"[ccrz__E_Order__c]","a0n5d00000UALKxAAP","O-0000007712","0013h00000zugGd","a0P5d000018j9UHEAY","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","FOB Orgin Pre-Pay & Add","","","","1007712","36669.55","","45245.81"
"[ccrz__E_Order__c]","a0n5d00000UALMkAAP","O-0000007713","0013h00000zugGd","a0P5d000018j9UgEAI","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","FOB Orgin Pre-Pay & Add","","","","1007713","29747.03","","47249.23"
"[ccrz__E_Order__c]","a0n5d00000UALNSAA5","O-0000007714","0013h00000zugGd","a0P5d000018j9UvEAI","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","FOB Orgin Pre-Pay & Add","","","","1007714","17878.37","","46957.44"
