"_","Id","Name","AccountId__c","ccrz__BillTo__c","Billing_Address__c","Billing_City_State_Zip__c","Bulk_Product_Count__c","Billing_Company_Name__c","ccrz__BuyerCompanyName__c","ccrz__ShipMethod__c","Average_Gross_Profit_Margin__c","Average_Per_Unit_Profit_Margin__c","Average_Net_Profit_Margin__c","ccrz__OrderNumber__c","Total_Cost__c","ccrz__TotalDiscount__c","Total_Weight__c"
"[ccrz__E_Order__c]","a0n5d00000UeFkrAAF","O-0000011370","0013h00000ztMKZ","a0P5d000018Y4DkEAK","Grade A Petroleum<br>90 East Hawthorne Avenue<br>Valley Stream, NY 11580<br>United States","Valley Stream, NY 11580","0","Grade A Petroleum","","Customer Pickup","","","","1011370","1822.4","","1827.4"
"[ccrz__E_Order__c]","a0n5d00000UeFnxAAF","O-0000011371","0013h00000JQpkj","a0P5d000018Y4F7EAK","Advance Auto Parts<br>2635 East Millbrook Road<br>Raleigh, NC 27604<br>United States","Raleigh, NC 27604","0","Advance Auto Parts","","Common Carrier Prepay","","","","1011371","4382.28","","4058.04"
"[ccrz__E_Order__c]","a0n5d00000UeG95AAF","O-0000011372","0013h00000zurZY","a0P5d000018Y4RXEA0","Tilcon New York, Inc<br>P. O. Box 550<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","0","Tilcon New York, Inc","","Buyback","","","","1011372","0","","175"
"[ccrz__E_Order__c]","a0n5d00000UeG9QAAV","O-0000011373","0015d00003O8Kl3","a0P5d000018Y4RcEAK","S &amp; S Chemical Company<br>P.O. Box 659<br>Northport, NY 11768<br>United States","Northport, NY 11768","0","S & S Chemical Company","","Common Carrier Cust Acct","","","","1011373","2249.5","","2034.88"
"[ccrz__E_Order__c]","a0n5d00000UeG9lAAF","O-0000011374","0013h000012WuWE","a0P5d000018Y4S1EAK","Reit Lubricants<br>899 Mearns Road<br>Warminster, PA 18974<br>United States","Warminster, PA 18974","0","Reit Lubricants","","Customer Pickup","","","","1011374","5549.6","","3502.8"
"[ccrz__E_Order__c]","a0n5d00000UeGA7AAN","O-0000011375","0013h00000zu3dE","a0P5d000018Y4SfEAK","Hough Petroleum Corp<br>340 4th Street<br>Ewing, NJ 08638<br>United States","Ewing, NJ 08638","4","Hough Petroleum Corp","","Customer Pickup","","","","1011375","27657.09","","24832.95"
"[ccrz__E_Order__c]","a0n5d00000UeGAxAAN","O-0000011376","0013h00000zuuHU","a0P5d000018Y4TJEA0","Total Specialties USA, Inc<br>5 North Stiles Street<br>Linden, NJ 07036<br>United States","Linden, NJ 07036","0","Total Specialties USA, Inc","","Common Carrier Cust Acct","","","","1011376","0","","3207.6"
"[ccrz__E_Order__c]","a0n5d00000UeGFSAA3","O-0000011377","0013h00000zuDTV","a0P5d000018Y4VPEA0","Fisher Auto Parts Inc<br>512 Greenville Ave<br>Staunton, VA 24401<br>United States","Staunton, VA 24401","2","Fisher Auto Parts Inc","","Buyback","","","","1011377","2337.49","","2537.27"
"[ccrz__E_Order__c]","a0n5d00000UeGISAA3","O-0000011378","0015d00003MT28u","a0P5d000018Y4ZHEA0","Bay Area Tire &amp; Service<br>539 Ritchie Highway<br>Severna Park, MD 21146<br>United States","Severna Park, MD 21146","2","Bay Area Tire & Service","","Buyback","","","","1011378","3743.84","","3027.6"
"[ccrz__E_Order__c]","a0n5d00000UeGMYAA3","O-0000011379","0013h00000zssaO","a0P5d000018Y4dOEAS","Brenntag Lubricants Northeast<br>1064 Goffs Falls Road<br>Manchester, NH 03103<br>United States","Manchester, NH 03103","3","Brenntag Lubricants Northeast","","ALS Tanker","","","","1011379","51987.01","","46993.28"
"[ccrz__E_Order__c]","a0n5d00000UeGOEAA3","O-0000011380","0013h00000vLrpk","a0P5d000018Y4fPEAS","Preferred Materials Inc<br>4636 Scarborough Drive<br>Lutz, FL 33559<br>United States","Lutz, FL 33559","0","Preferred Materials Inc","","Buyback","","","","1011380","1131.16","","902.32"
"[ccrz__E_Order__c]","a0n5d00000UeacvAAB","O-0000011381","0013h00000zvCoA","a0P5d000018Y81yEAC","Transaxle, LLC<br>2501 Route 73 South P. O. Box 2306<br>Cinnaminson, NJ 08077<br>United States","Cinnaminson, NJ 08077","0","Transaxle, LLC","","Buyback","","","","1011381","346.2","","244.56"
"[ccrz__E_Order__c]","a0n5d00000UeadWAAR","O-0000011382","0013h00000zvCoA","a0P5d000018Y82IEAS","Transaxle, LLC<br>2501 Route 73 South P. O. Box 2306<br>Cinnaminson, NJ 08077<br>United States","Cinnaminson, NJ 08077","0","Transaxle, LLC","","Buyback","","","","1011382","2090.75","","2124.53"
"[ccrz__E_Order__c]","a0n5d00000Ueae7AAB","O-0000011383","0013h00000zvCoA","a0P5d000018Y82XEAS","Transaxle, LLC<br>2501 Route 73 South P. O. Box 2306<br>Cinnaminson, NJ 08077<br>United States","Cinnaminson, NJ 08077","0","Transaxle, LLC","","Buyback","","","","1011383","101.6","","82.86"
"[ccrz__E_Order__c]","a0n5d00000UeaetAAB","O-0000011384","0013h00000zvCoA","a0P5d000018Y82dEAC","Transaxle, LLC<br>2501 Route 73 South P. O. Box 2306<br>Cinnaminson, NJ 08077<br>United States","Cinnaminson, NJ 08077","0","Transaxle, LLC","","Buyback","","","","1011384","1604.8","","813.6"
"[ccrz__E_Order__c]","a0n5d00000UeagDAAR","O-0000011385","0013h00000t5b8N","a0P5d000018Y83BEAS","Callanan Industries, Inc.<br>PO Box 610<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","0","Callanan Industries, Inc.","","Buyback","","","","1011385","643.5","","889.44"
"[ccrz__E_Order__c]","a0n5d00000UeahMAAR","O-0000011386","0013h00000zurZY","a0P5d000018Y83QEAS","Tilcon New York, Inc<br>P. O. Box 550<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","3","Tilcon New York, Inc","","Buyback","","","","1011386","8696.68","","8524.94"
"[ccrz__E_Order__c]","a0n5d00000UeaiYAAR","O-0000011387","0013h00000vLFv7","a0P5d000018Y83fEAC","Pennsy Supply, Inc.<br>PO Box 3331<br>Harrisburg, PA 17105<br>United States","Harrisburg, PA 17105","2","Pennsy Supply, Inc.","","Buyback","","","","1011387","5482.1","","4861.82"
"[ccrz__E_Order__c]","a0n5d00000UeakeAAB","O-0000011388","0013h00000t5b0Z","a0P5d000018Y84OEAS","Appalachian Aggregates, LLC<br>PO Box 554<br>Dunbar, WV 25064<br>United States","Dunbar, WV 25064","1","Appalachian Aggregates, LLC","","Buyback","","","","1011388","2340","","2900"
"[ccrz__E_Order__c]","a0n5d00000UeasBAAR","O-0000011389","0013h00000QieQw","a0P5d000018Y86AEAS","PWD Lubricants<br>1045 Pulinski Road<br>Warminster, PA 18974<br>United States","Warminster, PA 18974","1","PWD Lubricants","","Customer Pickup","","","","1011389","9881.18","","12950.2"
"[ccrz__E_Order__c]","a0n5d00000Ueb5nAAB","O-0000011391","0013h000013Onaz","a0P5d000018Y8AlEAK","Idemitsu Lubricants America Corp<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130","1","Idemitsu Lubricants America Corp","","Common Carrier Prepay","","","","1011391","0","","42190.2"
"[ccrz__E_Order__c]","a0n5d00000Ueb6XAAR","O-0000011392","0013h00000xrz7j","a0P5d000018Y8BPEA0","Lewis and Raulerson Inc<br>1759 State Street<br>Waycross, GA 31501<br>United States","Waycross, GA 31501","0","Lewis and Raulerson Inc","","Common Carrier Prepay","","","","1011392","0","","2467.5"
"[ccrz__E_Order__c]","a0n5d00000Ueb7VAAR","O-0000011393","0013h00000zugGd","a0P5d000018Y8C3EAK","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","ALS Tanker","","","","1011393","47141.74","","46646.9"
"[ccrz__E_Order__c]","a0n5d00000Ueb7vAAB","O-0000011394","0013h00000zugGd","a0P5d000018Y8CSEA0","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","2","Petrochoice","","ALS Tanker","","","","1011394","42220.84","","47294.51"
"[ccrz__E_Order__c]","a0n5d00000Ueb8kAAB","O-0000011395","0013h00000JQpx9","a0P5d000018Y8D1EAK","Parts Authority LLC<br>3 Dakota Drive<br>New Hyde Park, NY 11042<br>United States","New Hyde Park, NY 11042","0","Parts Authority LLC","","Buyback","","","","1011395","840.95","","883.01"
"[ccrz__E_Order__c]","a0n5d00000UebA4AAJ","O-0000011396","0013h00000zvCoA","a0P5d000018Y8EOEA0","Transaxle, LLC<br>2501 Route 73 South P. O. Box 2306<br>Cinnaminson, NJ 08077<br>United States","Cinnaminson, NJ 08077","0","Transaxle, LLC","","Buyback","","","","1011396","165.5","","79.94"
"[ccrz__E_Order__c]","a0n5d00000UebAfAAJ","O-0000011397","0013h00000zvCoA","a0P5d000018Y8EdEAK","Transaxle, LLC<br>2501 Route 73 South P. O. Box 2306<br>Cinnaminson, NJ 08077<br>United States","Cinnaminson, NJ 08077","0","Transaxle, LLC","","Buyback","","","","1011397","249.39","","120.9"
"[ccrz__E_Order__c]","a0n5d00000UebB7AAJ","O-0000011398","0013h00000t5b9W","a0P5d000018Y8F7EAK","Dolomite Products Company, Inc.<br>PO Box 609<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","1","Dolomite Products Company, Inc.","","Buyback","","","","1011398","2155.12","","1812.88"
"[ccrz__E_Order__c]","a0n5d00000UebSaAAJ","O-0000011399","0013h00000zugGd","a0P5d000018Y8NgEAK","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","1","Petrochoice","","Customer Pickup","","","","1011399","43227.6","","47270"
"[ccrz__E_Order__c]","a0n5d00000UebU6AAJ","O-0000011400","0013h00000JQpl3","a0P5d000018Y8OFEA0","AutoPro Spring Valley<br>303 Roosevelt Ave<br>Spring Valley, NY 10977<br>United States","Spring Valley, NY 10977","0","AutoPro Spring Valley","","Buyback","","","","1011400","442.2","","434.16"
"[ccrz__E_Order__c]","a0n5d00000UebW4AAJ","O-0000011401","0013h00000vLFv7","a0P5d000018Y8PcEAK","Pennsy Supply, Inc.<br>PO Box 3331<br>Harrisburg, PA 17105<br>United States","Harrisburg, PA 17105","1","Pennsy Supply, Inc.","","Buyback","","","","1011401","1293.15","","1380.1"
"[ccrz__E_Order__c]","a0n5d00000UebYsAAJ","O-0000011402","0013h00000ztDeQ","a0P5d000018Y8QfEAK","David Webber Oil Company<br>601 Industrial Road<br>Carlstadt, NJ 07072<br>United States","Carlstadt, NJ 07072","3","David Webber Oil Company","","Customer Pickup","","","","1011402","42516","","36239.53"
"[ccrz__E_Order__c]","a0n5d00000UebZzAAJ","O-0000011403","0013h00000ztDxs","a0P5d000018Y8RTEA0","Dysart&#39;s Lubricants<br>530 Coldbrook Road<br>Hermon, ME 04401<br>United States","Hermon, ME 04401","3","Dysart's Lubricants","","Customer Pickup","","","","1011403","44335.14","","48881.13"
"[ccrz__E_Order__c]","a0n5d00000UebakAAB","O-0000011404","0013h00000t5b8N","a0P5d000018Y8S2EAK","Callanan Industries, Inc.<br>PO Box 610<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","0","Callanan Industries, Inc.","","Buyback","","","","1011404","94","","206.65"
"[ccrz__E_Order__c]","a0n5d00000UebfpAAB","O-0000011405","0013h00000zugVU","a0P5d000018Y8VFEA0","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","0","PPC Lubricants","","Common Carrier Cust Acct","","","","1011405","1524.96","","1219.86"
"[ccrz__E_Order__c]","a0n5d00000UebgFAAR","O-0000011406","0013h00000zugVU","a0P5d000018Y8VZEA0","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","0","PPC Lubricants","","Common Carrier Cust Acct","","","","1011406","3537.66","","1687.56"
"[ccrz__E_Order__c]","a0n5d00000UebgaAAB","O-0000011407","0013h00000zugVU","a0P5d000018Y8W3EAK","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","0","PPC Lubricants","","Common Carrier Cust Acct","","","","1011407","3419.64","","1692.6"
"[ccrz__E_Order__c]","a0n5d00000Uebh0AAB","O-0000011408","0013h00000zugVU","a0P5d000018Y8WSEA0","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","0","PPC Lubricants","","Common Carrier Cust Acct","","","","1011408","2108.34","","1889.16"
"[ccrz__E_Order__c]","a0n5d00000UebiDAAR","O-0000011409","0013h00000zugVU","a0P5d000018Y8WwEAK","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","0","PPC Lubricants","","Common Carrier Cust Acct","","","","1011409","2346.21","","2130.34"
"[ccrz__E_Order__c]","a0n5d00000UebiYAAR","O-0000011410","0013h00000zugVU","a0P5d000018Y8XLEA0","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","0","PPC Lubricants","","Common Carrier Cust Acct","","","","1011410","2562.2","","1788.12"
"[ccrz__E_Order__c]","a0n5d00000UeblDAAR","O-0000011411","0015d00003O8B6S","a0P5d000018Y8ZHEA0","Cadence Petroleum<br>1015 Norcross Industrial Court<br>Norcross, GA 30071<br>United States","Norcross, GA 30071","0","Cadence Petroleum","","Common Carrier Prepay","","","","1011411","2527.56","","2001.72"
"[ccrz__E_Order__c]","a0n5d00000UebmbAAB","O-0000011412","0013h00000ztCa1","a0P5d000018Y8aKEAS","Caribbean Petroleum Group<br>Avenue 27 De Feburo Local 345 Calle<br>Santo Domingo,  <br>Dominican Republic","Santo Domingo,","0","Caribbean Petroleum Group","","Customer Pickup","","","","1011412","45040","","44747"
"[ccrz__E_Order__c]","a0n5d00000UebnpAAB","O-0000011413","0015d00003RzKoA","a0P5d000018Y8bSEAS","Millenium Promotion<br>Ave Bolivar #901<br>Ensanche La Julia,  <br>Dominican Republic","Ensanche La Julia,","0","Millenium Promotion","","Customer Pickup","","","","1011413","26419.96","","35885.28"
"[ccrz__E_Order__c]","a0n5d00000UeboiAAB","O-0000011414","0013h000012WuYP","a0P5d000018Y8cQEAS","Roadtex LTL<br>9445 Haver Way<br>Indianapolis, IN 46240<br>United States","Indianapolis, IN 46240","0","Roadtex LTL","","Customer Pickup","","","","1011414","4241.64","","3791.58"
"[ccrz__E_Order__c]","a0n5d00000UebqwAAB","O-0000011415","0013h000012WitZ","a0P5d000018Y8d9EAC","Modern Handling Equipment Company<br>2501 Durham Road<br>Bristol, PA 19007<br>United States","Bristol, PA 19007","0","Modern Handling Equipment Company","","Customer Pickup","","","","1011415","11998.62","","13036.836"
"[ccrz__E_Order__c]","a0n5d00000UebsvAAB","O-0000011416","0013h00000zugGd","a0P5d000018Y8eHEAS","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","ALS Tanker","","","","1011416","46061.44","","46453.42"
"[ccrz__E_Order__c]","a0n5d00000UebuSAAR","O-0000011417","0013h00000zugGd","a0P5d000018Y8g3EAC","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","ALS Tanker","","","","1011417","49138.31","","47257.58"
"[ccrz__E_Order__c]","a0n5d00000UebxWAAR","O-0000011418","0013h00000zugVU","a0P5d000018Y8hpEAC","PPC Lubricants<br>305 Micro Drive<br>Jonestown, PA 17038<br>United States","Jonestown, PA 17038","4","PPC Lubricants","","ALS Tanker","","","","1011418","44281.1","","47136.49"
"[ccrz__E_Order__c]","a0n5d00000UebycAAB","O-0000011419","0013h00000ztCrA","a0P5d000018Y8isEAC","Chesapeake Petroleum<br>P. O. Box 7610<br>Gaithersburg, MD 20898<br>United States","Gaithersburg, MD 20898","2","Chesapeake Petroleum","","ALS Tanker","","","","1011419","54132.83","","45944.48"
"[ccrz__E_Order__c]","a0n5d00000Uec03AAB","O-0000011420","0013h000013OoCs","a0P5d000018Y8kFEAS","Sealube Marine Inc<br>3663 N. Sam Houston Parkway E Suite 600<br>Houston, TX 77032<br>United States","Houston, TX 77032","1","Sealube Marine Inc","","ALS Tanker","","","","1011420","33132.15","","46167.75"
"[ccrz__E_Order__c]","a0n5d00000Uec3lAAB","O-0000011421","0013h00000vLFv7","a0P5d000018Y8nsEAC","Pennsy Supply, Inc.<br>PO Box 3331<br>Harrisburg, PA 17105<br>United States","Harrisburg, PA 17105","0","Pennsy Supply, Inc.","","Common Carrier Prepay","","","","1011421","0","","413.3"
"[ccrz__E_Order__c]","a0n5d00000UecAQAAZ","O-0000011422","0013h00000vLFv7","a0P5d000018Y8rQEAS","Pennsy Supply, Inc.<br>PO Box 3331<br>Harrisburg, PA 17105<br>United States","Harrisburg, PA 17105","0","Pennsy Supply, Inc.","","Buyback","","","","1011422","791","","889"
"[ccrz__E_Order__c]","a0n5d00000UecBDAAZ","O-0000011423","0013h00000vLrpk","a0P5d000018Y8s4EAC","Preferred Materials Inc<br>4636 Scarborough Drive<br>Lutz, FL 33559<br>United States","Lutz, FL 33559","0","Preferred Materials Inc","","Buyback","","","","1011423","1696.74","","1353.48"
"[ccrz__E_Order__c]","a0n5d00000UecJOAAZ","O-0000011424","0013h00000zurZY","a0P5d000018Y8wQEAS","Tilcon New York, Inc<br>P. O. Box 550<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","0","Tilcon New York, Inc","","Buyback","","","","1011424","0","","913.3"
"[ccrz__E_Order__c]","a0n5d00000UecLoAAJ","O-0000011425","0013h00000JQpx8","a0P5d000018Y8xdEAC","Parts Authority LLC<br>3 Dakota Drive<br>New Hyde Park, NY 11042<br>United States","New Hyde Park, NY 11042","0","Parts Authority LLC","","Buyback","","","","1011425","491.15","","433.28"
"[ccrz__E_Order__c]","a0n5d00000UecNhAAJ","O-0000011426","0013h00000zugGd","a0P5d000018Y8ygEAC","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","0","Petrochoice","","Customer Pickup","","","","1011426","2518.4","","1742.16"
"[ccrz__E_Order__c]","a0n5d00000UecOGAAZ","O-0000011427","0013h00000zugGd","a0P5d000018Y8zFEAS","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","0","Petrochoice","","Customer Pickup","","","","1011427","6047.25","","6676.35"
"[ccrz__E_Order__c]","a0n5d00000Ueft0AAB","O-0000011428","0013h00000zugGd","a0P5d000018Y9cFEAS","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","0","Petrochoice","","Customer Pickup","","","","1011428","3794.4","","3493.8"
"[ccrz__E_Order__c]","a0n5d00000UefvIAAR","O-0000011429","0013h00000zugGd","a0P5d000018Y9dXEAS","Petrochoice<br>640 Freedom Business Center Drive Suite 400<br>Fort Washington, PA 19034<br>United States","Fort Washington, PA 19034","4","Petrochoice","","ALS Tanker","","","","1011429","46986","","46549.31"
"[ccrz__E_Order__c]","a0n5d00000Ueg5ZAAR","O-0000011430","0013h00000zvDrd","a0P5d000018Y9htEAC","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","4","K-Bros","","ALS Tanker","","","","1011430","34631.53","","47671.75"
"[ccrz__E_Order__c]","a0n5d00000Ueg6oAAB","O-0000011431","0013h00000zvDrd","a0P5d000018Y9icEAC","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","4","K-Bros","","ALS Tanker","","","","1011431","50824.48","","47112.94"
"[ccrz__E_Order__c]","a0n5d00000Ueg7PAAR","O-0000011432","0013h00000zvDrd","a0P5d000018Y9j6EAC","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","4","K-Bros","","ALS Tanker","","","","1011432","49499.57","","46024.95"
"[ccrz__E_Order__c]","a0n5d00000Ueg7sAAB","O-0000011433","0013h00000zvDrd","a0P5d000018Y9jfEAC","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","4","K-Bros","","ALS Tanker","","","","1011433","52634.14","","47783.48"
"[ccrz__E_Order__c]","a0n5d00000Ueg8NAAR","O-0000011434","0013h00000zvDrd","a0P5d000018Y9k4EAC","K-Bros<br>70 Scott Drive<br>Westbrook, ME 04092<br>United States","Westbrook, ME 04092","3","K-Bros","","ALS Tanker","","","","1011434","52750.35","","47743.75"
"[ccrz__E_Order__c]","a0n5d00000Ueg9MAAR","O-0000011435","0013h00000ztCrA","a0P5d000018Y9kxEAC","Chesapeake Petroleum<br>P. O. Box 7610<br>Gaithersburg, MD 20898<br>United States","Gaithersburg, MD 20898","2","Chesapeake Petroleum","","ALS Tanker","","","","1011435","49084.54","","45793.9"
"[ccrz__E_Order__c]","a0n5d00000UegAEAAZ","O-0000011436","0013h00000zug6v","a0P5d000018Y9llEAC","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","4","Northeast Lubricants, LTD","","ALS Tanker","","","","1011436","48706.48","","48180.39"
"[ccrz__E_Order__c]","a0n5d00000UegAhAAJ","O-0000011437","0013h00000zug6v","a0P5d000018Y9mKEAS","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","4","Northeast Lubricants, LTD","","ALS Tanker","","","","1011437","41524.47","","46252.33"
"[ccrz__E_Order__c]","a0n5d00000UegBQAAZ","O-0000011438","0013h000012WjMp","a0P5d000018Y9mtEAC","Moroil Technologies<br>P. O. Box 127<br>Davidson, NC 28036<br>United States","Davidson, NC 28036","2","Moroil Technologies","","ALS Tanker","","","","1011438","40043.02","","46700.94"
"[ccrz__E_Order__c]","a0n5d00000UegC1AAJ","O-0000011439","0013h00000zuuHU","a0P5d000018Y9ncEAC","Total Specialties USA, Inc<br>5 North Stiles Street<br>Linden, NJ 07036<br>United States","Linden, NJ 07036","0","Total Specialties USA, Inc","","Common Carrier Cust Acct","","","","1011439","5898.75","","6235.8"
"[ccrz__E_Order__c]","a0n5d00000UegIuAAJ","O-0000011440","0013h00000t5b0Z","a0P5d000018Y9rAEAS","Appalachian Aggregates, LLC<br>PO Box 554<br>Dunbar, WV 25064<br>United States","Dunbar, WV 25064","1","Appalachian Aggregates, LLC","","Buyback","","","","1011440","3814.91","","3209.09"
"[ccrz__E_Order__c]","a0n5d00000UegKZAAZ","O-0000011441","0013h00000vLrmG","a0P5d000018Y9sDEAS","Pike Industries, Inc<br>PO Box 790<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","1","Pike Industries, Inc","","Buyback","","","","1011441","1075.5","","1095"
"[ccrz__E_Order__c]","a0n5d00000UegNBAAZ","O-0000011442","0013h00000JQpl3","a0P5d000018Y9uEEAS","AutoPro Spring Valley<br>303 Roosevelt Ave<br>Spring Valley, NY 10977<br>United States","Spring Valley, NY 10977","0","AutoPro Spring Valley","","Buyback","","","","1011442","1024.65","","1321.84"
"[ccrz__E_Order__c]","a0n5d00000UegNWAAZ","O-0000011443","0013h00000zvCoA","a0P5d000018Y9uJEAS","Transaxle, LLC<br>2501 Route 73 South P. O. Box 2306<br>Cinnaminson, NJ 08077<br>United States","Cinnaminson, NJ 08077","0","Transaxle, LLC","","Buyback","","","","1011443","2199.19","","2103.9"
"[ccrz__E_Order__c]","a0n5d00000UegNgAAJ","O-0000011444","0013h000013Onaz","a0P5d000018Y9udEAC","Idemitsu Lubricants America Corp<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130","1","Idemitsu Lubricants America Corp","","Customer Pickup","","","","1011444","50342.15","","42323.58"
"[ccrz__E_Order__c]","a0n5d00000UegOSAAZ","O-0000011445","0013h000013Onaz","a0P5d000018Y9v7EAC","Idemitsu Lubricants America Corp<br>701 Port Road<br>Jeffersonville, IN 47130<br>United States","Jeffersonville, IN 47130","1","Idemitsu Lubricants America Corp","","ALS Tanker","","","","1011445","54091.3","","45475.56"
"[ccrz__E_Order__c]","a0n5d00000UegQ7AAJ","O-0000011446","0013h00000t5b0Z","a0P5d000018Y9wUEAS","Appalachian Aggregates, LLC<br>PO Box 554<br>Dunbar, WV 25064<br>United States","Dunbar, WV 25064","0","Appalachian Aggregates, LLC","","Common Carrier Prepay","","","","1011446","1173.14","","1708.75"
"[ccrz__E_Order__c]","a0n5d00000UegVkAAJ","O-0000011447","0013h000012Wvvv","a0P5d000018YA0TEAW","The United Oil Company, Inc<br>4405 E Baltimore Street<br>Baltimore, MD 21224<br>United States","Baltimore, MD 21224","3","The United Oil Company, Inc","","ALS Tanker","","","","1011447","50367.86","","48493.69"
"[ccrz__E_Order__c]","a0n5d00000UegZLAAZ","O-0000011448","0013h00000JQpje","a0P5d000018YA3DEAW","Mavis Discount Tire<br>358 Saw Mill River Road<br>Millwood, NY 10546<br>United States","Millwood, NY 10546","0","Mavis Discount Tire","","Common Carrier Prepay","","","","1011448","47832","","44033.28"
"[ccrz__E_Order__c]","a0n5d00000UegaoAAB","O-0000011449","0013h00000JQpje","a0P5d000018YA41EAG","Mavis Discount Tire<br>358 Saw Mill River Road<br>Millwood, NY 10546<br>United States","Millwood, NY 10546","0","Mavis Discount Tire","","Common Carrier Prepay","","","","1011449","48281.28","","43966.08"
"[ccrz__E_Order__c]","a0n5d00000Uegl2AAB","O-0000011450","0013h00000zug6v","a0P5d000018YACPEA4","Northeast Lubricants, LTD<br>4500 Renaissance Parkway<br>Cleveland, OH 44128<br>United States","Cleveland, OH 44128","0","Northeast Lubricants, LTD","","Common Carrier Prepay","","","","1011450","2622.33","","2179.53"
"[ccrz__E_Order__c]","a0n5d00000UeglzAAB","O-0000011451","0013h00000ztCQY","a0P5d000018YADIEA4","Campbell Oil Co<br>P. O. Box 637<br>Elizabethtown, NC 28337<br>United States","Elizabethtown, NC 28337","0","Campbell Oil Co","","Common Carrier Prepay","","","","1011451","3973.62","","4114.74"
"[ccrz__E_Order__c]","a0n5d00000UegmXAAR","O-0000011452","0013h000013OoCs","a0P5d000018YADhEAO","Sealube Marine Inc<br>3663 N. Sam Houston Parkway E Suite 600<br>Houston, TX 77032<br>United States","Houston, TX 77032","0","Sealube Marine Inc","","Common Carrier Prepay","","","","1011452","0","","360.7"
"[ccrz__E_Order__c]","a0n5d00000UegnTAAR","O-0000011453","0013h00000zufXh","a0P5d000018YAEkEAO","Inland Vacuum Industries<br>P. O. Box 373<br>Churchville, NY 14428<br>United States","Churchville, NY 14428","0","Inland Vacuum Industries","","Common Carrier Cust Acct","","","","1011453","7229.46","","7909.34"
"[ccrz__E_Order__c]","a0n5d00000UegoQAAR","O-0000011454","0013h00000ztEB4","a0P5d000018YAFTEA4","Elite Lubricants LLC<br>8734 Concord Road<br>Seaford, DE 19973<br>United States","Seaford, DE 19973","0","Elite Lubricants LLC","","Customer Pickup","","","","1011454","5060.74","","5360.4"
"[ccrz__E_Order__c]","a0n5d00000UegqNAAR","O-0000011455","0013h00000t5b8N","a0P5d000018YAHAEA4","Callanan Industries, Inc.<br>PO Box 610<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","0","Callanan Industries, Inc.","","Buyback","","","","1011455","1067.55","","1367.16"
"[ccrz__E_Order__c]","a0n5d00000UegziAAB","O-0000011456","0013h00000zurZY","a0P5d000018YANcEAO","Tilcon New York, Inc<br>P. O. Box 550<br>Thornville, OH 43076<br>United States","Thornville, OH 43076","1","Tilcon New York, Inc","","Buyback","","","","1011456","2586.33","","2329.86"
