"_","Id","Company__c","CreatedById","CreatedDate","ECOGroupID__c","MtlPartNum__c","MtlSeq__c","Operations__c","PartNum__c","Plant__c","PullAsAsm__c","QtyPer__c","RelatedOperation__c","RevisionNum__c","SystemModstamp"
"[Materials__c]","a5Q5d000000CxReEAK","JC","0053h000003HAl9AAG","2023-07-24T19:06:08.000+0000","bgonnelli","LA5-00001","70","a5R5d0000009IHEEA2","TL-14051","ALS001","false","2","10","1","2023-07-24T19:06:08.000+0000"
"[Materials__c]","a5Q5d000000CxRiEAK","JC","0053h000003HAl9AAG","2023-07-24T19:05:40.000+0000","bgonnelli","LA4-00006","50","a5R5d0000009IHEEA2","TL-14051","ALS001","false","12","10","1","2023-07-24T19:05:40.000+0000"
"[Materials__c]","a5Q5d000000CxRnEAK","JC","0053h000003HAl9AAG","2023-07-24T19:06:23.000+0000","bgonnelli","PT1-00002","80","a5R5d0000009IHEEA2","TL-14051","ALS001","false","0.01","10","1","2023-07-24T19:06:23.000+0000"
"[Materials__c]","a5Q5d000000CxRsEAK","JC","0053h000003HAl9AAG","2023-07-24T19:46:30.000+0000","bgonnelli","992WP","10","a5R5d0000009IJKEA2","TL-17812","ALS001","false","2.54","10","1","2023-07-24T19:46:30.000+0000"
"[Materials__c]","a5Q5d000000CxRtEAK","JC","0053h000003HAl9AAG","2023-07-24T19:47:21.000+0000","bgonnelli","BT8-00025","40","a5R5d0000009IJKEA2","TL-17812","ALS001","false","12","10","1","2023-07-24T19:47:21.000+0000"
"[Materials__c]","a5Q5d000000CxRxEAK","JC","0053h000003HAl9AAG","2023-07-24T19:46:46.000+0000","bgonnelli","BT8-00004","20","a5R5d0000009IJKEA2","TL-17812","ALS001","false","12","10","1","2023-07-24T19:46:46.000+0000"
"[Materials__c]","a5Q5d000000CxS2EAK","JC","0053h000003HAl9AAG","2023-07-24T19:47:01.000+0000","bgonnelli","BX8-00005","30","a5R5d0000009IJKEA2","TL-17812","ALS001","false","1","10","1","2023-07-24T19:47:01.000+0000"
"[Materials__c]","a5Q5d000000CxS3EAK","JC","0053h000003HAl9AAG","2023-07-24T19:50:55.000+0000","bgonnelli","DR1-00015","20","a5R5d0000009IJPEA2","TL-10760-7","ALS001","false","1","10","1","2023-07-24T19:50:55.000+0000"
"[Materials__c]","a5Q5d000000CxS7EAK","JC","0053h000003HAl9AAG","2023-07-24T19:47:41.000+0000","bgonnelli","PT1-00002","50","a5R5d0000009IJKEA2","TL-17812","ALS001","false","0.00769","10","1","2023-07-24T19:47:41.000+0000"
"[Materials__c]","a5Q5d000000CxSCEA0","JC","0053h000003HAl9AAG","2023-07-24T19:50:39.000+0000","bgonnelli","514W","10","a5R5d0000009IJPEA2","TL-10760-7","ALS001","false","55","10","1","2023-07-24T19:50:39.000+0000"
"[Materials__c]","a5Q5d000000CxSHEA0","JC","0053h000003HAl9AAG","2023-07-24T19:51:10.000+0000","bgonnelli","CB5-00005","30","a5R5d0000009IJPEA2","TL-10760-7","ALS001","false","1","10","1","2023-07-24T19:51:10.000+0000"
"[Materials__c]","a5Q5d000000CxSMEA0","JC","0053h000003HAl9AAG","2023-07-24T19:51:25.000+0000","bgonnelli","CB5-00006","40","a5R5d0000009IJPEA2","TL-10760-7","ALS001","false","1","10","1","2023-07-24T19:51:25.000+0000"
"[Materials__c]","a5Q5d000000CxSNEA0","JC","0053h000003HAl9AAG","2023-07-24T19:51:56.000+0000","bgonnelli","LA1-00050","60","a5R5d0000009IJPEA2","TL-10760-7","ALS001","false","1","10","1","2023-07-24T19:51:56.000+0000"
"[Materials__c]","a5Q5d000000CxSREA0","JC","0053h000003HAl9AAG","2023-07-24T19:51:41.000+0000","bgonnelli","PT1-00002","50","a5R5d0000009IJPEA2","TL-10760-7","ALS001","false","0.25","10","1","2023-07-24T19:51:41.000+0000"
"[Materials__c]","a5Q5d000000CxSWEA0","JC","0053h000003HAl9AAG","2023-07-24T20:16:26.000+0000","bgonnelli","749","10","a5R5d0000009IKIEA2","TL-17185","ALS001","false","5","10","1","2023-07-24T20:16:26.000+0000"
"[Materials__c]","a5Q5d000000CxSXEA0","JC","0053h000003HAl9AAG","2023-07-24T20:16:41.000+0000","bgonnelli","PA1-00024","20","a5R5d0000009IKIEA2","TL-17185","ALS001","false","1","10","1","2023-07-24T20:16:41.000+0000"
